year,month,day,hour,minute,open,close,high,low,volume,number_of_trades
2023,4,1,13,45,28442.24,28447.31,28473.3,28428.86,3.32523799,48
2023,4,1,14,45,28373.83,28350,28401.04,28344.66,0.32492574,53
2023,4,1,15,45,28392.78,28416.85,28416.85,28385,1.84690872,52
2023,4,1,16,45,28411.36,28349.31,28411.36,28319.14,4.61970301,84
2023,4,1,17,45,28385,28392.59,28398.84,28360.25,1.0453152,52
2023,4,1,18,45,28369.99,28393.62,28399.99,28356.37,3.35595883,98
2023,4,1,19,45,28391,28399.93,28406.47,28376.73,0.49856162,47
2023,4,1,20,45,28528.4,28467.97,28528.4,28458.69,1.19937869,58
2023,4,1,21,45,28506.42,28503.83,28520.9,28483.85,0.51077235,52
2023,4,1,22,45,28539.87,28547.75,28563.35,28533.2,0.24506257,25
2023,4,1,23,45,28481.01,28473.97,28497.08,28473.97,0.19022902,24
2023,4,2,0,45,28444.62,28383.4,28446.66,28381.5,2.57573074,91
2023,4,2,1,45,28430.06,28415.68,28442.01,28405.68,1.37704377,42
2023,4,2,2,45,28428.34,28430.05,28433.3,28424,0.2756362,28
2023,4,2,3,45,28501.28,28489.87,28501.28,28483.98,0.11673473,26
2023,4,2,4,45,28449.01,28411.08,28455.68,28411.08,0.43947989,50
2023,4,2,5,45,28489.64,28470.24,28489.64,28454.33,0.13350421,21
2023,4,2,6,45,28486.4,28490.09,28505.04,28485.77,0.07301892,7
2023,4,2,8,45,28412.37,28395.73,28412.37,28389.47,0.04775756,28
2023,4,2,9,45,28436.47,28430.58,28490.6,28430.58,1.96926556,38
2023,4,2,10,45,28434.93,28401.99,28434.93,28401.99,0.53552447,26
2023,4,2,11,45,28403.31,28377,28403.46,28376.55,0.4705455,34
2023,4,2,12,45,28346.45,28296.86,28346.45,28294.48,8.57863989,84
2023,4,2,13,45,28363.42,28327.27,28384.83,28312.13,0.15867434,43
2023,4,2,14,45,28326.73,28305.64,28350.94,28305.64,1.25740386,55
2023,4,2,15,45,28126,28157.12,28157.12,28107.41,2.17852787,63
2023,4,2,16,45,28114.01,28146.29,28161.41,28090.29,3.13361838,83
2023,4,2,17,45,28219.6,28220.62,28256.92,28215.22,0.52266042,37
2023,4,2,18,45,28207.68,28191.55,28210.17,28191.55,0.32767793,41
2023,4,2,19,45,27981.65,27960.6,28028.02,27947.01,0.97720135,76
2023,4,2,20,45,28091.58,28079.23,28101.98,28056.6,4.32757925,96
2023,4,2,21,45,28079.15,28033.99,28080.36,28009.14,2.07848472,64
2023,4,2,22,45,27988.77,28127.74,28127.74,27982,2.38795896,90
2023,4,2,23,45,28167,28200.01,28213.7,28166.99,4.17510521,97
2023,4,3,0,45,28095,28123.87,28128.59,28095,1.97444392,57
2023,4,3,1,45,27717.29,27707.89,27738.74,27600,3.31617076,163
